               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.088059,            0.036149,            0.067886,             0.11652,             0.23583,            0.059993,            0.022347,            0.059104,            0.018992,            0.062148,             0.00194,             0.00194,             0.08254
                   1,             0.05856,            0.034742,            0.059259,             0.27576,             0.24232,             0.10564,            0.053522,             0.04816,            0.014964,            0.057846,           0.0038772,           0.0038772,            0.064977
                   2,            0.054591,            0.030739,            0.055101,             0.46033,             0.25621,             0.16705,            0.086399,            0.046577,            0.013705,            0.052092,           0.0058015,           0.0058015,            0.047401
                   3,            0.052229,            0.030342,             0.05053,              0.5266,             0.24941,             0.21387,             0.10829,            0.043558,            0.014468,            0.048325,           0.0077129,           0.0077129,            0.029813
                   4,            0.052042,            0.030011,            0.046686,             0.40333,             0.35569,             0.25581,             0.12646,            0.045399,            0.013319,            0.042366,           0.0096114,           0.0096114,            0.012211
                   5,             0.04973,            0.030388,            0.043218,             0.51283,             0.33101,              0.3139,             0.15734,            0.042639,            0.013781,            0.038453,            0.009835,            0.009835,            0.009835
                   6,            0.048801,            0.030758,            0.039355,             0.37849,             0.42178,             0.34229,             0.16391,            0.042911,            0.014251,            0.035774,            0.009835,            0.009835,            0.009835
                   7,            0.047688,            0.030462,            0.036819,             0.54309,             0.34753,             0.37308,              0.1836,            0.043781,            0.014205,            0.032604,            0.009802,            0.009802,            0.009802
                   8,            0.046528,            0.029219,            0.034713,             0.48334,             0.42193,             0.41025,             0.20524,             0.04208,              0.0137,            0.031054,            0.009769,            0.009769,            0.009769
                   9,            0.045175,            0.029408,            0.032152,             0.45341,             0.53912,             0.49756,             0.24941,            0.041249,            0.013126,            0.028442,            0.009736,            0.009736,            0.009736
                  10,            0.044975,            0.029013,            0.030046,             0.62641,             0.39538,             0.45273,             0.24293,            0.041259,            0.013066,            0.033058,            0.009703,            0.009703,            0.009703
                  11,            0.044333,            0.029067,            0.028753,             0.55774,             0.39046,             0.42576,             0.21408,            0.042589,            0.014043,            0.034149,             0.00967,             0.00967,             0.00967
                  12,            0.043788,            0.029204,            0.027764,             0.48999,             0.51518,             0.48931,             0.25967,            0.041005,            0.013278,            0.026777,            0.009637,            0.009637,            0.009637
                  13,            0.043344,            0.028853,            0.026493,             0.53847,             0.57481,             0.55679,             0.31161,            0.039244,            0.013073,            0.024441,            0.009604,            0.009604,            0.009604
                  14,            0.042599,            0.028628,            0.025032,              0.6457,             0.57857,             0.61569,             0.33892,            0.037285,            0.012679,            0.024655,            0.009571,            0.009571,            0.009571
