               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.09408,            0.066559,            0.068259,             0.14351,             0.12871,            0.033422,            0.012022,            0.060541,             0.02359,            0.063812,             0.00194,             0.00194,             0.08254
                   1,            0.065132,            0.066596,            0.060048,             0.17808,             0.25824,            0.079383,            0.036108,            0.049334,            0.018532,            0.059953,           0.0038772,           0.0038772,            0.064977
                   2,            0.060767,            0.062532,            0.056256,             0.18973,             0.24871,              0.1457,            0.064381,            0.046847,            0.013829,            0.055342,           0.0058015,           0.0058015,            0.047401
                   3,            0.059346,            0.063196,            0.049266,             0.26481,             0.32398,             0.19457,            0.084612,            0.048427,            0.016142,            0.048506,           0.0077129,           0.0077129,            0.029813
                   4,            0.059116,            0.061651,            0.042268,             0.21858,             0.36189,             0.24329,             0.12116,            0.044284,            0.015795,            0.042254,           0.0096114,           0.0096114,            0.012211
                   5,            0.054865,            0.059974,            0.038152,             0.44563,             0.40423,             0.34761,             0.16643,            0.040687,            0.016039,            0.038377,            0.009835,            0.009835,            0.009835
                   6,            0.052906,            0.059843,             0.03482,             0.47454,             0.42591,             0.40541,              0.2072,            0.041618,            0.013807,            0.036844,            0.009835,            0.009835,            0.009835
                   7,            0.051177,            0.057754,            0.031178,             0.41774,             0.40688,             0.37175,             0.19252,            0.040261,              0.0158,            0.036959,            0.009802,            0.009802,            0.009802
                   8,            0.050324,            0.055008,            0.029658,             0.43477,             0.54555,             0.46453,             0.23866,            0.039603,            0.014186,            0.031794,            0.009769,            0.009769,            0.009769
                   9,            0.048627,            0.057792,            0.027045,             0.46142,             0.45014,             0.42865,             0.23505,            0.037788,            0.013861,            0.031485,            0.009736,            0.009736,            0.009736
                  10,             0.04795,            0.057995,            0.025268,             0.48583,             0.54757,              0.5012,             0.26653,            0.037159,            0.013562,            0.029107,            0.009703,            0.009703,            0.009703
                  11,            0.047345,            0.056756,            0.023878,             0.50289,             0.55138,             0.53075,             0.29083,            0.037575,            0.014022,            0.026771,             0.00967,             0.00967,             0.00967
                  12,            0.046716,            0.055992,            0.022692,              0.5849,             0.58255,             0.57624,             0.32295,            0.037887,            0.012967,            0.026899,            0.009637,            0.009637,            0.009637
                  13,            0.046001,            0.055088,             0.02164,             0.64346,             0.51916,             0.56729,             0.30125,            0.038855,            0.013315,            0.026416,            0.009604,            0.009604,            0.009604
                  14,            0.044913,            0.054412,            0.020021,              0.6041,             0.55844,             0.59218,             0.32597,            0.037074,            0.013022,            0.026444,            0.009571,            0.009571,            0.009571
                  15,            0.044397,            0.053932,            0.020332,             0.58612,             0.56175,             0.58481,             0.33501,            0.037249,            0.012192,             0.02554,            0.009538,            0.009538,            0.009538
                  16,            0.044269,            0.052727,            0.020036,             0.64051,             0.54572,             0.60376,             0.36596,            0.037554,            0.012468,            0.023103,            0.009505,            0.009505,            0.009505
                  17,             0.04393,            0.053519,            0.019681,             0.65466,             0.57188,             0.63091,             0.36849,            0.036246,            0.012633,            0.025558,            0.009472,            0.009472,            0.009472
                  18,             0.04346,            0.051993,            0.020489,             0.72402,             0.52991,              0.6301,             0.35112,            0.039272,            0.013301,            0.025278,            0.009439,            0.009439,            0.009439
                  19,            0.043128,            0.051161,            0.019291,             0.64596,             0.61384,             0.65185,             0.39567,            0.034873,            0.012787,            0.021514,            0.009406,            0.009406,            0.009406
