               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.091517,            0.037289,            0.064276,            0.009196,           0.0039833,           0.0017776,          0.00043958,            0.087699,             0.01798,            0.072179,             0.00194,             0.00194,             0.08254
                   1,              0.0863,            0.036069,             0.06164,           0.0022952,             0.01045,          0.00060579,          0.00013444,            0.081429,            0.018699,            0.061715,           0.0038836,           0.0038836,            0.064984
                   2,            0.084765,            0.037234,            0.060193,          0.00059998,             0.11058,          0.00069388,          0.00013102,            0.080403,            0.019049,            0.061374,           0.0058207,           0.0058207,            0.047421
                   3,            0.080077,            0.039109,            0.059768,             0.55156,            0.041567,            0.003284,          0.00064273,            0.077517,            0.018513,            0.061085,           0.0077514,           0.0077514,            0.029851
                   4,            0.074085,            0.040654,            0.058594,              0.3885,            0.062955,           0.0082799,           0.0018356,            0.074039,            0.022023,            0.059739,           0.0096757,           0.0096757,            0.012276
                   5,             0.06839,            0.039572,            0.057576,             0.28725,            0.062792,            0.006475,           0.0017499,            0.065826,            0.023412,            0.059026,           0.0099175,           0.0099175,           0.0099175
                   6,            0.063975,            0.040952,             0.05623,             0.31191,             0.11297,            0.029945,           0.0085581,            0.060451,            0.018391,            0.056357,           0.0099175,           0.0099175,           0.0099175
                   7,            0.061297,            0.039592,            0.055036,             0.13104,             0.15926,            0.038558,            0.012419,            0.061223,            0.018539,            0.055893,            0.009901,            0.009901,            0.009901
                   8,             0.05894,            0.037082,            0.053538,             0.45736,             0.10375,            0.068528,            0.025821,            0.057651,            0.017623,            0.052229,           0.0098845,           0.0098845,           0.0098845
                   9,            0.057205,            0.037236,            0.052024,            0.097835,             0.27325,            0.098668,            0.038212,            0.054033,            0.017612,            0.049446,            0.009868,            0.009868,            0.009868
                  10,            0.054605,            0.036904,            0.048374,             0.41202,             0.21183,             0.13587,            0.052717,            0.054052,            0.017194,             0.04542,           0.0098515,           0.0098515,           0.0098515
                  11,            0.054594,            0.035262,            0.047351,             0.19022,             0.28266,             0.17696,            0.072714,            0.051804,            0.016162,            0.042594,            0.009835,            0.009835,            0.009835
                  12,            0.054174,            0.036145,            0.044957,             0.51776,             0.23755,             0.21296,            0.088829,            0.050162,            0.015646,            0.039803,           0.0098185,           0.0098185,           0.0098185
                  13,            0.052072,            0.035447,            0.042175,             0.31173,             0.29982,             0.24491,              0.1073,            0.050629,            0.016136,            0.042095,            0.009802,            0.009802,            0.009802
                  14,            0.051622,            0.034708,            0.039807,              0.4751,              0.3316,             0.30951,              0.1307,            0.048362,            0.015723,            0.033402,           0.0097855,           0.0097855,           0.0097855
                  15,            0.050523,            0.034388,            0.037856,             0.24647,             0.38352,             0.23047,             0.11069,            0.050809,            0.017803,            0.036567,            0.009769,            0.009769,            0.009769
                  16,            0.050383,            0.032831,            0.036813,              0.3751,               0.388,             0.31515,             0.15125,            0.046276,            0.014602,            0.033589,           0.0097525,           0.0097525,           0.0097525
                  17,            0.049575,            0.032712,            0.033879,             0.44923,             0.28668,             0.29196,             0.13169,             0.04916,            0.016454,            0.033056,            0.009736,            0.009736,            0.009736
